TransactionID,OrderDate,Region,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,CustomerID,CustomerSegment
TRN-00058,2022-07-26,West,Books,Ergonomic Chair,6.0,353.23,2119.38,1717,Enterprise
TRN-00059,2022-07-30,Midwest,Home & Garden,Ergonomic Chair,15.0,659.9300638465734,9898.95,7665,Enterprise
TRN-00060,2022-10-24,East,Software,Fiction Novel,15.0,939.347035452742,14090.21,7806,SMB
TRN-00061,,North,Electronics,Laptop Pro,3.0,335.83439432593116,1007.5,4854,SMB
TRN-00062,2022-08-05,Midwest,Software,Laptop Pro,15.0,456.7749409014486,6851.62,6988,Enterprise
TRN-00063,2022-05-07,West,Books,Laptop Pro,5.0,806.003035964296,4030.02,6486,Individual
TRN-00064,2022-09-06,West,Home & Garden,Fiction Novel,1.0,235.48083840814223,235.48,9808,SMB
TRN-00065,,Unknown,Apparel,Anti-virus Suite,27.5,1571.4585392903361,43215.11,GUEST,Unknown
TRN-00066,,North,Apparel,Smartphone X,7.0,1571.4585392903361,11000.21,1728,Individual
TRN-00067,2022-08-09,East,Apparel,Anti-virus Suite,16.0,902.2547469549482,14436.08,8421,Unknown
TRN-00068,2022-06-19,Midwest,Apparel,Anti-virus Suite,17.0,1571.4585392903361,26714.8,6237,SMB
TRN-00069,2022-02-17,South,Printed Media,Anti-virus Suite,3.0,805.070738364566,2415.21,9967,Individual
TRN-00070,2022-02-02,East,Apparel,Anti-virus Suite,7.0,4.75,33.25,2693,Individual
TRN-00071,,Unknown,Apparel,Laptop Pro,8.0,265.17098643804104,2121.37,2664,Individual
TRN-00072,2022-07-25,West,Home & Garden,Laptop Pro,15.0,296.11,4441.65,1825,SMB
TRN-00073,2022-03-03,East,Home & Garden,Smartphone X,27.5,275.75566679277966,7583.28,7799,Individual
TRN-00074,2022-09-22,Central,Books,Laptop Pro,19.0,688.5287700355847,13082.05,CUST-8079,Enterprise
TRN-00075,2022-01-02,South,Apparel,Ergonomic Chair,5.0,517.8918091279207,2589.46,GUEST,Individual
TRN-00076,2022-11-20,North,Software,Laptop Pro,12.0,117.35,1408.2,2931,SMB
TRN-00077,2022-05-02,North,Apparel,Smartphone X,12.0,527.5052384499326,6330.06,7748,Enterprise
TRN-00078,2022-12-20,East,Home & Garden,Anti-virus Suite,2.0,527.5450720674185,1055.09,4051,SMB
TRN-00079,2022-02-11,East,Printed Media,Laptop Pro,7.0,328.9122520512687,2302.39,8186,SMB
TRN-00080,2022-05-02,South,Home & Garden,Ergonomic Chair,8.0,374.0130334977456,2992.1,8404,Individual
TRN-00081,2022-08-21,North,Electronics,Laptop Pro,9.0,64.68378570242406,582.15,8164,Enterprise
TRN-00082,2022-02-18,East,Printed Media,Anti-virus Suite,8.0,372.0783014962656,2976.63,7617,Enterprise
TRN-00083,2022-02-20,Central,Electronics,Fiction Novel,7.0,146.3979657227305,1024.79,3839,SMB
TRN-00084,2022-04-28,Central,Printed Media,Laptop Pro,14.0,354.741061723149,4966.37,9932,Enterprise
TRN-00085,2022-11-01,South,Books,Smartphone X,19.0,371.095399008959,7050.81,5980,Individual
TRN-00086,2022-02-01,South,Software,Ergonomic Chair,27.5,591.5581115848967,16267.85,4440,Individual
TRN-00087,2022-02-19,Midwest,Printed Media,Smartphone X,14.0,381.74909588202786,5344.49,3479,SMB
TRN-00088,2022-01-31,Unknown,Home & Garden,Laptop Pro,1.0,663.1986811118094,663.2,8668,Unknown
TRN-00089,2022-11-30,Midwest,Electronics,Fiction Novel,1.0,423.4428384334224,423.44,4373,SMB
TRN-00090,2022-03-09,North,Printed Media,Laptop Pro,18.0,826.3610901911551,14874.5,4147,SMB
TRN-00091,2022-09-01,South,Apparel,Fiction Novel,19.0,395.4481222603293,7513.51,2148,Enterprise
TRN-00092,2022-01-30,South,Software,Fiction Novel,7.0,634.2568653642113,4439.8,6644,Enterprise
TRN-00093,2022-12-23,West,Books,Ergonomic Chair,10.0,968.322078091486,9683.22,GUEST,Individual
TRN-00094,2022-12-09,East,Apparel,Anti-virus Suite,2.0,928.4589373646346,1856.92,5070,Individual
TRN-00095,2022-04-23,South,Books,Fiction Novel,2.0,88.73638447702572,177.47,6949,Enterprise
TRN-00096,,Unknown,Apparel,Ergonomic Chair,17.0,263.0558439875318,4471.95,3427,Unknown
TRN-00097,2022-02-25,North,Software,Smartphone X,8.0,571.2970998982568,4570.38,1851,SMB
TRN-00098,2022-10-29,North,Books,Fiction Novel,18.0,227.19258487986153,4089.47,9308,SMB
TRN-00099,2022-09-21,South,Home & Garden,Anti-virus Suite,18.0,180.6448969386936,3251.61,CUST-4672,Enterprise
TRN-00100,2022-03-26,East,Software,Smartphone X,11.0,964.3249301950055,10607.57,7457,Individual
TRN-00101,2022-01-17,North,Printed Media,Ergonomic Chair,14.0,706.3908511973426,9889.47,8805,SMB
TRN-00102,,West,Home & Garden,Anti-virus Suite,4.0,903.6264791007252,3614.51,7905,Individual
TRN-00103,2022-05-27,South,Home & Garden,Anti-virus Suite,15.0,0.83,12.45,9867,Unknown
TRN-00104,2022-10-09,Midwest,Home & Garden,Anti-virus Suite,8.0,374.44,2995.52,5380,SMB
TRN-00105,2022-03-13,West,Apparel,Anti-virus Suite,3.0,359.12971325130434,1077.39,3738,Individual
TRN-00106,2022-11-01,West,Home & Garden,Laptop Pro,13.0,873.7187026510985,11358.34,9082,SMB
TRN-00107,,Unknown,Printed Media,Anti-virus Suite,4.0,1.74,6.96,5171,Enterprise
TRN-00108,2022-02-08,West,Books,Laptop Pro,7.0,138.99102943668785,972.94,2066,SMB
TRN-00109,2022-05-16,North,Apparel,Anti-virus Suite,4.0,289.19318103409597,1156.77,8509,SMB
TRN-00110,2022-10-04,North,Home & Garden,Fiction Novel,6.0,305.3,1831.8,6691,SMB
TRN-00111,2022-07-28,East,Home & Garden,Smartphone X,16.0,905.397154305164,14486.35,6188,Enterprise
TRN-00112,2022-09-29,South,Software,Ergonomic Chair,6.0,1571.4585392903361,9428.75,GUEST,Enterprise
TRN-00113,2022-03-07,East,Apparel,Anti-virus Suite,8.0,542.8510906561978,4342.81,4769,SMB
TRN-00114,2022-06-09,Central,Apparel,Fiction Novel,12.0,912.852591668321,10954.23,6315,SMB
TRN-00115,2022-12-29,West,Printed Media,Laptop Pro,7.0,65.75843748146335,460.31,GUEST,Individual
TRN-00116,2022-11-27,West,Software,Ergonomic Chair,1.0,517.8918091279207,517.89,GUEST,Enterprise
TRN-00117,2022-09-18,Unknown,Books,Anti-virus Suite,11.0,391.5165936587674,4306.68,1698,Individual
TRN-00118,2022-10-09,East,Books,Laptop Pro,11.0,973.1929785849128,10705.12,7293,Enterprise
TRN-00119,2022-01-26,South,Electronics,Smartphone X,19.0,990.5511575990502,18820.47,3914,Unknown
TRN-00120,,Unknown,Software,Ergonomic Chair,27.5,517.8918091279207,14242.02,9306,SMB
TRN-00121,2022-03-06,East,Printed Media,Smartphone X,11.0,357.04278541971746,3927.47,5146,Individual
TRN-00122,,Unknown,Books,Fiction Novel,9.0,351.07590489846376,3159.68,GUEST,Individual
TRN-00123,2022-12-04,North,Apparel,Laptop Pro,8.0,739.6578949267274,5917.26,7484,Unknown
TRN-00124,2022-10-12,Midwest,Software,Laptop Pro,13.0,965.4389782347902,12550.71,CUST-3967,Individual
TRN-00125,2022-10-20,South,Software,Smartphone X,12.0,693.6861437501683,8324.23,5249,Enterprise
TRN-00126,2022-07-14,West,Software,Fiction Novel,1.0,943.4356551352686,943.44,1412,Individual
TRN-00127,,South,Software,Smartphone X,27.5,883.4723857119319,24295.49,1580,Enterprise
TRN-00128,2022-08-31,South,Home & Garden,Ergonomic Chair,14.0,902.3549700556604,12632.97,3744,Enterprise
TRN-00129,2022-05-23,North,Apparel,Anti-virus Suite,4.0,157.79984517855962,631.2,GUEST,Unknown
TRN-00130,2022-05-08,Midwest,Electronics,Smartphone X,9.0,1571.4585392903361,14143.13,4913,SMB
TRN-00131,2022-07-11,North,Electronics,Fiction Novel,15.0,986.3679314050706,14795.52,5142,Unknown
TRN-00132,2022-05-05,South,Electronics,Ergonomic Chair,4.0,138.44762941560424,553.79,GUEST,Individual
TRN-00133,2022-01-21,South,Home & Garden,Laptop Pro,10.0,406.8038050079468,4068.04,8266,SMB
TRN-00134,2022-10-27,West,Home & Garden,Laptop Pro,2.0,183.07981447469783,366.16,5968,Enterprise
TRN-00135,2022-02-06,Central,Software,Smartphone X,15.0,693.6861437501683,10405.29,2150,Enterprise
TRN-00136,2022-10-19,Central,Apparel,Smartphone X,9.0,716.8685333948182,6451.82,5946,Enterprise
TRN-00137,2022-09-30,West,Apparel,Fiction Novel,15.0,945.7642187168932,14186.46,1853,SMB
TRN-00138,2022-10-04,North,Electronics,Fiction Novel,4.0,446.79,1787.16,9130,SMB
TRN-00139,,East,Apparel,Anti-virus Suite,10.0,343.32,3433.2,6917,SMB
TRN-00140,2022-04-20,West,Home & Garden,Fiction Novel,5.0,316.733744318813,1583.67,4267,SMB
TRN-00141,2022-03-27,South,Apparel,Fiction Novel,8.0,598.0586903950411,4784.47,1417,Enterprise
TRN-00142,2022-12-05,South,Home & Garden,Laptop Pro,19.0,860.3589826939921,16346.82,3786,Enterprise
TRN-00143,2022-08-25,South,Books,Anti-virus Suite,7.0,674.7322476853262,4723.13,6536,SMB
TRN-00144,2022-02-01,East,Apparel,Fiction Novel,9.0,680.3266806526531,6122.94,9527,Enterprise
TRN-00145,2022-04-22,West,Printed Media,Ergonomic Chair,7.0,211.01810935178787,1477.13,6104,Enterprise
TRN-00146,,Unknown,Electronics,Laptop Pro,16.0,514.9801222636848,8239.68,8027,Enterprise
TRN-00147,2022-12-01,East,Printed Media,Laptop Pro,13.0,626.1076066766104,8139.4,3489,Individual
TRN-00148,2022-03-26,North,Printed Media,Anti-virus Suite,3.0,218.2551454366965,654.77,6745,Enterprise
TRN-00149,2022-02-20,South,Software,Smartphone X,12.0,281.7901612101294,3381.48,CUST-5107,Individual
TRN-00150,2022-09-04,Central,Apparel,Smartphone X,3.0,736.3295094984301,2208.99,4974,Enterprise
